2024-07-03 15:45:50 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:50 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:50 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:50 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:50 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:50 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 5.469(s), this was the 1st time calling it.
2024-07-03 15:45:50 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:45:51 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:51 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:51 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:51 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:51 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:45:51 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 6.437(s), this was the 2nd time calling it.
2024-07-03 15:45:51 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:46:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:46:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:46:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:46:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:46:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:46:27 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 42.406(s), this was the 3rd time calling it.
2024-07-03 15:46:38 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:46:38 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:51:07 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:51:07 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:52:04 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:52:04 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:57:27 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:57:27 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:00:16 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 16:00:16 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:00:42 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:03 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 16:04:03 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:05 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:07 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:09 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:12 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 16:04:12 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:14 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:16 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 16:04:37 | INFO | verify | verify.py | 验证码识别开始
